nome_lancamento,tipo_lancamento,data_inicio_captacao,investimento_total,descricao,data_fim_captacao,link_dashboard,link_briefing,observacoes
FLAVIAAFFONSO | DST2,externo,2025-08-15,3000,Confirmado,2025-09-02,,,
FEBURJATO | SET25,externo,2025-08-26,1500,Confirmado,2025-09-06,,,
[AUPAIR] [JAN24],outro,2024-01-01,50000,Confirmado,,,,
[JONASKAZ] [MENTOR100K],outro,2024-03-28,0,,,,,
[EXCELTESALVA] [ABRIL24],outro,2024-03-28,0,,,,,
[LILLYRAHY] [ABRIL24],outro,2024-03-28,0,,,,,
[GRAGATTO] [ABRIL24],outro,2024-03-28,0,,,,,
[FEEMOURA] [ABRIL24],outro,2024-04-11,0,,,,,
[JONASKAZ] [VDM21],outro,2024-04-17,0,,,,,
[AUPAIR] [T20],outro,2024-04-26,0,,,,,
[JONASKAZ] [VDM20],outro,2023-12-20,100000,Confirmado,2025-01-08,,,
[JONASKAZ] [VDM21],outro,2024-04-26,0,,,,,
[EXCELTESALVA] [ABRIL24],outro,2024-03-18,0,Confirmado,,,https://docs.google.com/spreadsheets/d/1_pggA3C54Wqq9zVleS4gvOgZ0JypBpoAm4-9UakGTN8/edit#gid=0,
[AUPAIR] [T20],outro,2024-04-26,0,,,,,
[LILLYRAHY] [ABRIL24],outro,2024-03-18,0,Confirmado,,,https://docs.google.com/spreadsheets/d/1dqI2EbvNt5JvSuIznv216oAdfspAJ16Wd5KpEEPYwe0/edit#gid=0,
[HARMON] [MAI24],outro,2024-05-13,3000,,2025-06-09,,https://docs.google.com/spreadsheets/d/1ycZocsamMgO-CRCu2qKCNgMNISmi_DtBskLVIYsYcsQ/edit?usp=sharing,
[JONAS KAZ] [VDM22],outro,2024-08-15,250000,,2025-09-05,,,
[TATYCOZER] [AFE0524],outro,2024-05-28,0,,,,,
[JONASKAZ] [IMVDM] [SET24],outro,2024-09-11,0,,,,,
[BORAnaOBRA] [IECS] [OUT24],outro,2024-09-16,30000,Confirmado,2025-10-05,,https://docs.google.com/document/d/1ukORqhFb5UONmo2j3Kv-dBJ4K-ci3spwewS4qFQZ5AE/edit?usp=sharing,
[BORAnaOBRA] [POSNOV24],outro,2024-10-11,100000,Iniciado,2025-11-05,,https://docs.google.com/spreadsheets/d/1FCC_rzEYbmPx9vJb2GGVHPbmQyozm1UUTaExbup0k6g/edit?usp=sharing,
[JONASKAZ] [IED] [OUT24],outro,2024-10-10,10000,Iniciado,,,,
[CARLALOUREIRO] [DIO] [NOV24],outro,2024-10-15,25000,Iniciado,,,https://docs.google.com/spreadsheets/d/10kFcCKgFQTjWcvhIN_PMAeA1oEsjaalW9Bhm7DB5bEs/edit?gid=0#gid=0,
[EXCELTESALVA] [NOV24] Black Friday,outro,2024-10-30,7500,Confirmado,,,https://docs.google.com/spreadsheets/d/1877L88VFPAsel6yiUyAkZ9HVhlSdKG18zvJwGvINQmY/edit?gid=0#gid=0,
[BORAnaOBRA] [BLACKCMB],outro,2024-11-18,5000,Confirmado,,,https://docs.google.com/spreadsheets/d/1swFrcFVEGxs9D7oXmIs1Be8XXQQhMP1cuFdj7zJwquc/edit?usp=sharing,
[JONASKAZ] [BLACKFRIDAY] [NOV24],outro,2024-11-01,50000,Confirmado,,,,
[BORAnaOBRA] [CMB11] [FEV25],interno,2025-01-20,150000,Confirmado,2025-02-10,https://lookerstudio.google.com/u/0/reporting/62296971-e66b-4823-b172-d3460c15d938/page/p_u5c19kxscd,https://docs.google.com/spreadsheets/d/1Sbx6jrCwPJBfApn1Bo3wk3Ae3fp0Ip2kECYZUEOlExM/edit?usp=sharing,
[JONASKAZ] [VDM23],outro,2025-01-03,250000,Confirmado,,,,
[FLAVIAFFONSO] [DST] [FEV25],interno,2025-02-03,3000,Confirmado,2025-02-18,https://lookerstudio.google.com/u/0/reporting/0307a20e-9611-4a89-ab99-1eb2563ee736/page/p_u5c19kxscd/edit,https://docs.google.com/spreadsheets/d/1VdnHJuaHr4KDmtLo2_1jH7XR8t8H2Rm1gq1pL3wkTbw/edit?gid=0#gid=0,
JONASKAZ | VDM23,interno,2025-03-11,150000,Iniciado,,,,
MYLLAMURTA | ISNM01,interno,2025-05-20,11100,Confirmado,2025-06-10,,https://docs.google.com/spreadsheets/d/1StUoiMWhKOUqOg4EBWyrBeFSRzhc0IJcZ3UWTWleN0Y/edit?gid=0#gid=0,
JONASKAZ | VDM24,interno,2025-06-13,150000,Confirmado,2025-07-07,,,
[TEREZASCARDUA] [ITS] [MPSI] [OUT24],outro,2024-10-03,0,Iniciado,2024-10-16,,https://docs.google.com/document/d/1YDKoOk0xsw3tnQgrE-h3ufEqCcU4rmYJ14PuMZ0Ma2I/edit,
[MYLLAMURTA] [BUSINESS] [OUT24],outro,2024-10-02,0,Iniciado,2024-10-08,,,
[TEREZASCARDUA] [RTB] [OUT24],outro,2024-10-02,0,Iniciado,2024-10-10,,https://docs.google.com/document/d/1eNqJgoCcvPCUTkYS1CHql4q8U0G21w_zusDbsssdSuM/edit,
[TEREZASCARDUA] [ITS] [MPH] [OUT24],outro,2024-10-02,0,Iniciado,2024-10-17,,https://docs.google.com/document/d/17T42jMLKAKujLqJZ11LS5wrZvsvM-Y7uYrZGlEnrqJs/edit,
[TEREZASCARDUA] [ITS] [MER] [OUT24],outro,2024-10-02,0,Iniciado,2024-10-09,,https://docs.google.com/document/d/1cXesTEfLRmhRSxxmv-FkiVou1yPQT8S7v4XJGp9v1Qk/edit,
[DRACAMILASCREM] [IEHMAR24],outro,2024-03-18,0,Confirmado,,,,
[JUSTAPENA] [LSMAR24],outro,2024-03-18,0,,,,,
