nome_lancamento,tipo_lancamento,data_inicio_captacao,investimento_total
RUBIHAIR | NOV25,Captação Simples,20/10/25,3000
FEBURJATO | OUT25,Captação Simples,Hoje,1000
PATRICIACARDOSO | OUT25,Captação Simples,Hoje,2000
PHDNOSEUA | WMB_OUT25,Lançamento Tradicional,6 dias atrás,60000
MYLLAMURTA | BLACK,Lançamento Tradicional,Hoje,10000
CARLALOUREIRO | LP_01,Lançamento Tradicional,16/9/25,30000
BORAnaOBRA | IMBNO_OUT25,Lançamento Tradicional,25/9/25,5000
RENATAVANUCCI | SVSC_OUT25,Lançamento Tradicional,22/9/25,5000
BORAnaOBRA | BNOexp26_MET,Lançamento Tradicional,25/9/25,6000
DANIGUARDINI | OUT25,Captação Simples,29/9/25,2000
FISIOEXPERIENCE | SET25,Captação Simples,23/9/25,4000
